priority,part,name,section,suggested_source,raw
"P0","高速铁路","安九高铁","3. 京港（台）通道","hsr-rails 或 OSM","安九高铁（安庆-九江，350km/h）"
"P0","高速铁路","包西铁路扩能","2. 京兰通道","hsr-rails 或 OSM","包西铁路扩能（包头-西安段）"
"P0","高速铁路","昌赣高铁","3. 京港（台）通道","hsr-rails 或 OSM","昌赣高铁（南昌-赣州，350km/h）"
"P0","高速铁路","昌九城际","3. 京港（台）通道","hsr-rails 或 OSM","昌九城际（南昌-九江，250km/h）"
"P0","高速铁路","常益长高铁","5. 呼南通道","hsr-rails 或 OSM","常益长高铁（常德-益阳-长沙，350km/h）"
"P0","高速铁路","大张高铁","5. 呼南通道","hsr-rails 或 OSM","大张高铁（大同-张家口，250km/h）"
"P0","高速铁路","赣龙铁路","7. 厦渝通道","hsr-rails 或 OSM","赣龙铁路（赣州-龙岩，200km/h）"
"P0","高速铁路","赣深高铁","3. 京港（台）通道","hsr-rails 或 OSM","赣深高铁（赣州-深圳，350km/h）"
"P0","高速铁路","广西沿海铁路","1. 沿海通道","hsr-rails 或 OSM","广西沿海铁路（南宁-钦州-防城港-北海）"
"P0","高速铁路","广湛高铁","7. 包（银）海通道","hsr-rails 或 OSM","广湛高铁（广州-湛江，350km/h，2025年底通车）"
"P0","高速铁路","哈齐高铁","1. 绥满通道","hsr-rails 或 OSM","哈齐高铁（哈尔滨-齐齐哈尔，250km/h）"
"P0","高速铁路","哈秦段","4. 京哈～京港澳通道","hsr-rails 或 OSM","哈秦段（京哈高铁哈尔滨-沈阳-秦皇岛段，250-350km/h）"
"P0","高速铁路","汉宜铁路","5. 沿江通道","hsr-rails 或 OSM","汉宜铁路（武汉-宜昌，200km/h）"
"P0","高速铁路","杭衢高铁","6. 沪昆通道","hsr-rails 或 OSM","杭衢高铁（杭州-衢州，350km/h，2025年底通车）"
"P0","高速铁路","杭甬高铁","1. 沿海通道","hsr-rails 或 OSM","杭甬高铁（杭州-宁波，350km/h）"
"P0","高速铁路","合蚌高铁","2. 京沪通道","hsr-rails 或 OSM","合蚌高铁（合肥-蚌埠，350km/h）"
"P0","高速铁路","合宁铁路","5. 沿江通道","hsr-rails 或 OSM","合宁铁路（合肥-南京，250km/h）"
"P0","高速铁路","合武铁路","5. 沿江通道","hsr-rails 或 OSM","合武铁路（合肥-武汉，250km/h）"
"P0","高速铁路","呼张高铁","5. 呼南通道","hsr-rails 或 OSM","呼张高铁（呼和浩特-张家口，250km/h）"
"P0","高速铁路","呼准鄂铁路","2. 京兰通道","hsr-rails 或 OSM","呼准鄂铁路（呼和浩特-准格尔-鄂尔多斯，200km/h）"
"P0","高速铁路","沪宁城际","2. 京沪通道","hsr-rails 或 OSM","沪宁城际（上海-南京，350km/h）"
"P0","高速铁路","沪苏湖高铁","5. 沿江通道","hsr-rails 或 OSM","沪苏湖高铁（上海-苏州-湖州，350km/h）"
"P0","高速铁路","济青高铁","3. 青银通道","hsr-rails 或 OSM","济青高铁（济南-青岛，350km/h）"
"P0","高速铁路","津秦高铁","1. 沿海通道","hsr-rails 或 OSM","津秦高铁（天津-秦皇岛，350km/h）"
"P0","高速铁路","京津城际","2. 京沪通道","hsr-rails 或 OSM","京津城际（北京-天津，350km/h，中国首条高铁）"
"P0","高速铁路","京沈高铁","4. 京哈～京港澳通道","hsr-rails 或 OSM","京沈高铁（北京-沈阳，350km/h）"
"P0","高速铁路","连镇高铁","1. 沿海通道","hsr-rails 或 OSM","连镇高铁（连云港-镇江，250km/h）"
"P0","高速铁路","龙厦铁路","7. 厦渝通道","hsr-rails 或 OSM","龙厦铁路（龙岩-厦门，200km/h）"
"P0","高速铁路","茂湛铁路","1. 沿海通道","hsr-rails 或 OSM","茂湛铁路（茂名-湛江，200km/h）"
"P0","高速铁路","牡绥铁路","1. 绥满通道","hsr-rails 或 OSM","牡绥铁路（牡丹江-绥芬河，200km/h）"
"P0","高速铁路","南广铁路","7. 包（银）海通道","hsr-rails 或 OSM","南广铁路（南宁-广州，250km/h）"
"P0","高速铁路","盘兴高铁","8. 广昆通道","hsr-rails 或 OSM","盘兴高铁（盘州-兴义，250km/h，2025年通车）"
"P0","高速铁路","盘营高铁","1. 沿海通道","hsr-rails 或 OSM","盘营高铁（盘锦-营口，350km/h）"
"P0","高速铁路","黔张常铁路","7. 厦渝通道","hsr-rails 或 OSM","黔张常铁路（黔江-张家界-常德，200km/h）"
"P0","高速铁路","秦沈客专","1. 沿海通道","hsr-rails 或 OSM","秦沈客专（秦皇岛-沈阳，250km/h）"
"P0","高速铁路","青连铁路","4. 陆桥通道","hsr-rails 或 OSM","青连铁路（青岛-连云港，200km/h）"
"P0","高速铁路","青盐铁路","1. 沿海通道","hsr-rails 或 OSM","青盐铁路（青岛-盐城，200km/h）"
"P0","高速铁路","深茂铁路","1. 沿海通道","hsr-rails 或 OSM","深茂铁路（深圳-茂名，200km/h）"
"P0","高速铁路","石济客专","3. 青银通道","hsr-rails 或 OSM","石济客专（石家庄-济南，250km/h）"
"P0","高速铁路","石太客专","3. 青银通道","hsr-rails 或 OSM","石太客专（石家庄-太原，250km/h）"
"P0","高速铁路","太焦高铁","5. 呼南通道","hsr-rails 或 OSM","太焦高铁（太原-焦作，250km/h）"
"P0","高速铁路","太中银铁路","3. 青银通道","hsr-rails 或 OSM","太中银铁路（太原-中卫-银川，160km/h）"
"P0","高速铁路","潍烟高铁","1. 沿海通道","hsr-rails 或 OSM","潍烟高铁（潍坊-烟台，350km/h）"
"P0","高速铁路","温福铁路","1. 沿海通道","hsr-rails 或 OSM","温福铁路（温州-福州，250km/h）"
"P0","高速铁路","湘桂铁路扩能","5. 呼南通道","hsr-rails 或 OSM","湘桂铁路扩能（衡阳-南宁，200km/h）"
"P0","高速铁路","向莆铁路","3. 京港（台）通道","hsr-rails 或 OSM","向莆铁路（抚州-莆田，200km/h）"
"P0","高速铁路","甬台温铁路","1. 沿海通道","hsr-rails 或 OSM","甬台温铁路（宁波-台州-温州，250km/h）"
"P0","高速铁路","渝万城际","5. 沿江通道","hsr-rails 或 OSM","渝万城际（重庆-万州，250km/h）"
"P0","高速铁路","郑焦城际","5. 呼南通道","hsr-rails 或 OSM","郑焦城际（郑州-焦作，200km/h）"
"P0","快速铁路","沪通铁路","【福建地区】","OSM（多客货共线）","沪通铁路（上海-南通，200km/h）"
"P0","快速铁路","兰青铁路","【福建地区】","OSM（多客货共线）","兰青铁路（兰州-西宁，160km/h）"
"P0","快速铁路","宁启铁路","【福建地区】","OSM（多客货共线）","宁启铁路（南京-南通-启东，200km/h）"
"P0","快速铁路","宁蓉铁路","【福建地区】","OSM（多客货共线）","宁蓉铁路（南京-合肥-武汉-重庆-成都，200km/h）"
"P0","快速铁路","湘桂铁路","【福建地区】","OSM（多客货共线）","湘桂铁路（衡阳-南宁，200km/h）"
"P0","快速铁路","渝怀铁路","【福建地区】","OSM（多客货共线）","渝怀铁路（重庆-怀化，120-160km/h）"
"P0","普速铁路","包兰线","西北地区","OSM（禁止 hsr）","包兰线（包头—兰州）"
"P0","普速铁路","滨洲线","东北地区","OSM（禁止 hsr）","滨洲线（哈尔滨—满洲里，935公里）"
"P0","普速铁路","沪昆线","3. 沪昆线（上海—昆明）","OSM（禁止 hsr）","3. 沪昆线（上海—昆明）"
"P0","普速铁路","焦柳线","中南地区","OSM（禁止 hsr）","焦柳线（焦作—柳州）"
"P0","普速铁路","京广线","4. 京广线（北京—广州）","OSM（禁止 hsr）","4. 京广线（北京—广州）"
"P0","普速铁路","京哈线","1. 京哈线（北京—哈尔滨）","OSM（禁止 hsr）","1. 京哈线（北京—哈尔滨）"
"P0","普速铁路","京沪线","2. 京沪线（北京—上海）","OSM（禁止 hsr）","2. 京沪线（北京—上海）"
"P0","普速铁路","京九线","3. 京九线（北京—香港九龙）","OSM（禁止 hsr）","3. 京九线（北京—香港九龙）"
"P0","普速铁路","兰新线","西北地区","OSM（禁止 hsr）","兰新线（兰州—乌鲁木齐—阿拉山口）"
"P0","普速铁路","陇海—兰新线","2. 陇海—兰新线（连云港—乌鲁木齐）","OSM（禁止 hsr）","2. 陇海—兰新线（连云港—乌鲁木齐）"
"P0","普速铁路","陇海线","西北地区","OSM（禁止 hsr）","陇海线（连云港—兰州）"
"P0","普速铁路","宁西线","中南地区","OSM（禁止 hsr）","宁西线（南京—西安）"
